ASIANPAINT														DMART																							
DATE	SERIES	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	VALUE	NO OF TRADES	SERIES	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	VALUE	NO OF TRADES				DATE	CLOSE					DATE	CLOSE
24-10-2024	EQ	"2,989.70"	"3,002.30"	"2,951.00"	"2,989.70"	"2,975.00"	"2,972.00"	"2,973.64"	"3,422.95"	"2,670.10"	"5,71,259"	"1,69,87,21,046.05"	"88,357"	EQ	"4,155.75"	"4,187.90"	"4,044.65"	"4,156.10"	"4,059.00"	"4,060.10"	"4,097.93"	"5,484.85"	"3,620.00"	"4,35,991"	"1,78,66,59,724.55"	"48,935"				24-10-2024	2972.00					24-10-2024	4060.1
23-10-2024	EQ	"2,999.95"	"3,026.50"	"2,972.05"	"3,006.85"	"2,995.00"	"2,989.70"	"2,999.85"	"3,422.95"	"2,670.10"	"6,24,689"	"1,87,39,75,356.55"	"46,783"	EQ	"4,009.00"	"4,224.80"	"3,978.00"	"4,005.20"	"4,154.45"	"4,156.10"	"4,130.95"	"5,484.85"	"3,620.00"	"6,86,716"	"2,83,67,91,638.30"	"79,899"		ASIAN PAINTS		23-10-2024	2989.70			DMART		23-10-2024	4156.1
22-10-2024	EQ	"3,054.00"	"3,057.95"	"2,995.25"	"3,049.20"	"3,010.85"	"3,006.85"	"3,017.54"	"3,422.95"	"2,670.10"	"5,41,838"	"1,63,50,16,971.60"	"61,303"	EQ	"3,999.90"	"4,057.00"	"3,965.90"	"3,973.45"	"4,004.95"	"4,005.20"	"4,013.67"	"5,484.85"	"3,620.00"	"6,98,102"	"2,79,62,98,406.30"	"77,039"		CLOSE		22-10-2024	3006.85			CLOSE		22-10-2024	4005.2
21-10-2024	EQ	"3,007.05"	"3,057.00"	"3,000.55"	"2,992.15"	"3,043.00"	"3,049.20"	"3,031.23"	"3,422.95"	"2,670.10"	"8,06,970"	"2,44,61,14,222.65"	"64,693"	EQ	"4,000.05"	"4,073.00"	"3,961.00"	"3,986.70"	"3,965.15"	"3,973.45"	"3,996.45"	"5,484.85"	"3,620.00"	"4,94,815"	"1,97,75,03,245.00"	"53,568"				21-10-2024	3049.20					21-10-2024	3973.45
18-10-2024	EQ	"3,057.00"	"3,069.00"	"2,980.60"	"3,055.85"	"2,998.85"	"2,992.15"	"3,018.01"	"3,422.95"	"2,670.10"	"8,99,318"	"2,71,41,47,955.15"	"74,852"	EQ	"4,100.00"	"4,114.00"	"3,975.10"	"4,087.70"	"3,990.00"	"3,986.70"	"4,013.90"	"5,484.85"	"3,620.00"	"10,94,839"	"4,39,45,76,919.35"	"1,05,076"				18-10-2024	2992.15					18-10-2024	3986.7
17-10-2024	EQ	"3,082.90"	"3,085.00"	"3,037.00"	"3,082.10"	"3,055.00"	"3,055.85"	"3,053.34"	"3,422.95"	"2,670.10"	"6,74,481"	"2,05,94,21,914.05"	"49,764"	EQ	"4,175.00"	"4,180.00"	"4,044.00"	"4,173.80"	"4,121.00"	"4,087.70"	"4,120.40"	"5,484.85"	"3,620.00"	"7,31,365"	"3,01,35,12,809.70"	"74,432"				17-10-2024	3055.85					17-10-2024	4087.7
16-10-2024	EQ	"3,088.00"	"3,103.55"	"3,066.10"	"3,067.10"	"3,078.00"	"3,082.10"	"3,081.19"	"3,422.95"	"2,670.10"	"7,64,001"	"2,35,40,35,992.80"	"51,357"	EQ	"4,209.00"	"4,215.00"	"4,149.00"	"4,193.55"	"4,150.00"	"4,173.80"	"4,189.11"	"5,484.85"	"3,620.00"	"6,88,895"	"2,88,58,54,087.85"	"64,434"				16-10-2024	3082.10					16-10-2024	4173.8
15-10-2024	EQ	"3,075.00"	"3,096.80"	"3,047.65"	"3,039.15"	"3,075.00"	"3,067.10"	"3,072.09"	"3,422.95"	"2,670.10"	"12,42,322"	"3,81,65,23,237.45"	"76,416"	EQ	"4,230.00"	"4,238.95"	"4,180.60"	"4,183.60"	"4,201.00"	"4,193.55"	"4,198.23"	"5,484.85"	"3,620.00"	"13,55,665"	"5,69,13,89,479.05"	"1,12,868"				15-10-2024	3067.10					15-10-2024	4193.55
14-10-2024	EQ	"3,037.00"	"3,055.00"	"3,017.20"	"3,037.20"	"3,040.00"	"3,039.15"	"3,039.16"	"3,422.95"	"2,670.10"	"7,16,011"	"2,17,60,69,508.40"	"65,593"	EQ	"4,204.00"	"4,299.00"	"4,139.95"	"4,572.70"	"4,191.00"	"4,183.60"	"4,204.15"	"5,484.85"	"3,620.00"	"48,76,749"	"20,50,25,83,580.35"	"4,54,617"				14-10-2024	3039.15					14-10-2024	4183.6
11-10-2024	EQ	"3,059.20"	"3,064.00"	"3,026.00"	"3,059.10"	"3,042.95"	"3,037.20"	"3,039.94"	"3,422.95"	"2,670.10"	"9,76,017"	"2,96,70,37,962.35"	"65,051"	EQ	"4,643.10"	"4,643.10"	"4,529.00"	"4,607.50"	"4,570.00"	"4,572.70"	"4,559.77"	"5,484.85"	"3,620.00"	"4,10,581"	"1,87,21,55,901.05"	"32,107"				11-10-2024	3037.20					11-10-2024	4572.7
