Date	series	OPEN	HIGH	LOW	PREV. CLOSE	ltp	close	vwap	52W H	52W L	VOLUME	VALUE	No of trades									
24-10-2024	EQ	"4,155.75"	"4,187.90"	"4,044.65"	"4,156.10"	"4,059.00"	"4,060.10"	"4,097.93"	"5,484.85"	"3,620.00"	"4,35,991"	"1,78,66,59,724.55"	"48,935"									
23-10-2024	EQ	"4,009.00"	"4,224.80"	"3,978.00"	"4,005.20"	"4,154.45"	"4,156.10"	"4,130.95"	"5,484.85"	"3,620.00"	"6,86,716"	"2,83,67,91,638.30"	"79,899"									
22-10-2024	EQ	"3,999.90"	"4,057.00"	"3,965.90"	"3,973.45"	"4,004.95"	"4,005.20"		"5,484.85"	"3,620.00"	"6,98,102"	"2,79,62,98,406.30"	"77,039"			Number of shares outstanding as of October 2024 : 						"65,08,15,812"
21-10-2024	EQ	"4,000.05"	"4,073.00"	"3,961.00"	"3,986.70"	"3,965.15"	"3,973.45"	"3,996.45"	"5,484.85"	"3,620.00"	"4,94,815"	"1,97,75,03,245.00"	"53,568"									
18-10-2024	EQ	"4,100.00"	"4,114.00"	"3,975.10"	"4,087.70"	"3,990.00"	"3,986.70"	"4,013.90"	"5,484.85"	"3,620.00"	"10,94,839"	"4,39,45,76,919.35"	"1,05,076"									
17-10-2024	EQ	"4,175.00"	"4,180.00"	"4,044.00"	"4,173.80"	"4,121.00"	"4,087.70"	"4,120.40"	"5,484.85"	"3,620.00"	"7,31,365"	"3,01,35,12,809.70"	"74,432"									
16-10-2024	EQ	"4,209.00"	"4,215.00"	"4,149.00"	"4,193.55"	"4,150.00"	"4,173.80"	"4,189.11"	"5,484.85"	"3,620.00"	"6,88,895"	"2,88,58,54,087.85"	"64,434"									
15-10-2024	EQ	"4,230.00"	"4,238.95"	"4,180.60"	"4,183.60"	"4,201.00"	"4,193.55"	"4,198.23"	"5,484.85"	"3,620.00"	"13,55,665"	"5,69,13,89,479.05"	"1,12,868"									
14-10-2024	EQ	"4,204.00"	"4,299.00"	"4,139.95"	"4,572.70"	"4,191.00"	"4,183.60"	"4,204.15"	"5,484.85"	"3,620.00"	"48,76,749"	"20,50,25,83,580.35"	"4,54,617"									
11-10-2024	EQ	"4,643.10"	"4,643.10"	"4,529.00"	"4,607.50"	"4,570.00"	"4,572.70"	"4,559.77"	"5,484.85"	"3,620.00"	"4,10,581"	"1,87,21,55,901.05"	"32,107"									
10-10-2024	EQ	"4,664.80"	"4,698.90"	"4,572.00"	"4,645.40"	"4,612.00"	"4,607.50"	"4,631.71"	"5,484.85"	"3,620.00"	"3,16,729"	"1,46,69,96,181.30"	"46,177"									
09-10-2024	EQ	"4,510.00"	"4,688.75"	"4,481.65"	"4,465.45"	"4,650.00"	"4,645.40"	"4,632.90"	"5,484.85"	"3,620.00"	"10,59,581"	"4,90,89,29,111.10"	"1,10,000"									
08-10-2024	EQ	"4,544.15"	"4,619.90"	"4,435.00"	"4,544.15"	"4,482.95"	"4,465.45"	"4,496.01"	"5,484.85"	"3,620.00"	"10,09,173"	"4,53,72,48,299.95"	"1,06,711"									
07-10-2024	EQ	"4,741.00"	"4,752.90"	"4,518.00"	"4,737.55"	"4,534.00"	"4,544.15"	"4,561.36"	"5,484.85"	"3,620.00"	"18,64,971"	"8,50,68,07,856.20"	"1,82,627"									
04-10-2024	EQ	"4,875.00"	"4,875.00"	"4,696.10"	"4,942.60"	"4,725.00"	"4,737.55"	"4,771.97"	"5,484.85"	"3,616.00"	"29,83,666"	"14,23,79,54,491.85"	"2,69,617"									
03-10-2024	EQ	"4,924.55"	"5,015.00"	"4,881.00"	"4,954.35"	"4,941.00"	"4,942.60"	"4,959.61"	"5,484.85"	"3,616.00"	"6,15,247"	"3,05,13,83,387.40"	"76,674"									
01-10-2024	EQ	"5,095.00"	"5,138.00"	"4,936.10"	"5,096.30"	"4,959.00"	"4,954.35"	"4,989.19"	"5,484.85"	"3,616.00"	"5,62,718"	"2,80,75,06,477.15"	"78,725"									
30-09-2024	EQ	"5,102.30"	"5,215.00"	"5,080.00"	"5,102.30"	"5,109.00"	"5,096.30"	"5,127.47"	"5,484.85"	"3,616.00"	"4,37,174"	"2,24,15,95,825.30"	"55,452"									
27-09-2024	EQ	"5,224.60"	"5,226.00"	"5,090.00"	"5,198.05"	"5,112.00"	"5,102.30"	"5,125.11"	"5,484.85"	"3,616.00"	"5,66,687"	"2,90,43,33,037.60"	"62,974"									
26-09-2024	EQ	"5,313.45"	"5,313.45"	"5,164.00"	"5,265.50"	"5,188.90"	"5,198.05"	"5,205.13"	"5,484.85"	"3,616.00"	"3,72,440"	"1,93,85,99,495.60"	"64,214"									
25-09-2024	EQ	"5,400.00"	"5,417.50"	"5,232.00"	"5,391.45"	"5,300.00"	"5,265.50"	"5,285.53"	"5,484.85"	"3,616.00"	"5,29,354"	"2,79,79,18,813.95"	"50,640"									
24-09-2024	EQ	"5,304.95"	"5,484.85"	"5,231.15"	"5,297.45"	"5,397.85"	"5,391.45"	"5,392.96"	"5,484.85"	"3,616.00"	"6,72,936"	"3,62,91,19,841.60"	"81,580"									
23-09-2024	EQ	"5,355.15"	"5,363.00"	"5,260.25"	"5,320.55"	"5,305.50"	"5,297.45"	"5,294.84"	"5,449.00"	"3,616.00"	"1,79,528"	"95,05,72,389.90"	"27,590"									
20-09-2024	EQ	"5,360.00"	"5,417.95"	"5,225.10"	"5,342.50"	"5,342.35"	"5,320.55"	"5,316.28"	"5,449.00"	"3,616.00"	"5,98,428"	"3,18,14,09,021.50"	"76,261"									
19-09-2024	EQ	"5,295.00"	"5,443.95"	"5,180.00"	"5,265.20"	"5,335.00"	"5,342.50"	"5,297.02"	"5,449.00"	"3,616.00"	"3,92,198"	"2,07,74,79,946.05"	"43,016"									
18-09-2024	EQ	"5,225.00"	"5,289.00"	"5,219.90"	"5,219.85"	"5,261.00"	"5,265.20"	"5,257.82"	"5,449.00"	"3,616.00"	"2,01,983"	"1,06,19,89,365.20"	"26,748"									
17-09-2024	EQ	"5,227.00"	"5,254.00"	"5,200.10"	"5,204.80"	"5,202.00"	"5,219.85"	"5,219.07"	"5,449.00"	"3,616.00"	"1,55,984"	"81,40,91,583.15"	"26,311"									
16-09-2024	EQ	"5,188.05"	"5,260.00"	"5,176.15"	"5,187.05"	"5,220.00"	"5,204.80"	"5,212.18"	"5,449.00"	"3,616.00"	"1,98,479"	"1,03,45,08,022.65"	"27,624"									
13-09-2024	EQ	"5,250.90"	"5,255.85"	"5,155.00"	"5,238.55"	"5,192.90"	"5,187.05"	"5,217.58"	"5,449.00"	"3,616.00"	"3,95,545"	"2,06,37,86,429.20"	"54,707"									
12-09-2024	EQ	"5,330.00"	"5,376.05"	"5,216.90"	"5,299.10"	"5,236.00"	"5,238.55"	"5,279.45"	"5,449.00"	"3,616.00"	"3,80,591"	"2,00,93,10,656.90"	"48,040"									
11-09-2024	EQ	"5,357.90"	"5,449.00"	"5,279.10"	"5,344.40"	"5,295.00"	"5,299.10"	"5,352.23"	"5,449.00"	"3,616.00"	"4,61,780"	"2,47,15,55,054.85"	"55,989"									
10-09-2024	EQ	"5,361.40"	"5,422.45"	"5,315.00"	"5,361.40"	"5,338.00"	"5,344.40"	"5,368.18"	"5,422.45"	"3,616.00"	"4,00,985"	"2,15,25,58,146.15"	"62,502"									
09-09-2024	EQ	"5,303.45"	"5,395.00"	"5,216.05"	"5,303.45"	"5,360.00"	"5,361.40"	"5,336.56"	"5,395.00"	"3,616.00"	"5,94,876"	"3,17,45,91,236.25"	"70,682"									
06-09-2024	EQ	"5,293.00"	"5,354.55"	"5,202.00"	"5,308.15"	"5,309.80"	"5,303.45"	"5,292.14"	"5,361.15"	"3,616.00"	"7,21,164"	"3,81,64,98,220.15"	"71,590"									
05-09-2024	EQ	"5,084.10"	"5,361.15"	"5,077.10"	"5,100.90"	"5,270.05"	"5,308.15"	"5,249.10"	"5,361.15"	"3,616.00"	"13,23,435"	"6,94,68,48,909.20"	"1,19,558"									
04-09-2024	EQ	"4,974.00"	"5,109.00"	"4,960.35"	"4,980.60"	"5,100.20"	"5,100.90"	"5,049.61"	"5,219.00"	"3,616.00"	"3,19,841"	"1,61,50,71,348.70"	"35,604"									
03-09-2024	EQ	"5,029.00"	"5,039.80"	"4,965.00"	"4,999.85"	"4,981.00"	"4,980.60"	"5,008.00"	"5,219.00"	"3,616.00"	"2,22,027"	"1,11,19,12,061.70"	"38,277"									
02-09-2024	EQ	"4,977.00"	"5,023.95"	"4,951.00"	"4,927.45"	"5,000.00"	"4,999.85"	"4,981.71"	"5,219.00"	"3,616.00"	"2,90,596"	"1,44,76,64,904.55"	"45,053"									
30-08-2024	EQ	"5,020.00"	"5,042.00"	"4,900.00"	"5,008.80"	"4,930.00"	"4,927.45"	"4,953.72"	"5,219.00"	"3,533.00"	"5,64,035"	"2,79,40,68,928.00"	"64,668"									
29-08-2024	EQ	"4,991.50"	"5,155.55"	"4,980.65"	"4,964.85"	"5,011.95"	"5,008.80"	"5,062.36"	"5,219.00"	"3,533.00"	"9,39,641"	"4,75,67,99,323.40"	"88,593"									
28-08-2024	EQ	"4,995.50"	"4,995.50"	"4,905.00"	"4,958.55"	"4,967.00"	"4,964.85"	"4,937.73"	"5,219.00"	"3,533.00"	"5,04,521"	"2,49,11,88,971.20"	"41,032"									
27-08-2024	EQ	"5,010.00"	"5,010.00"	"4,925.65"	"4,959.40"	"4,955.00"	"4,958.55"	"4,962.42"	"5,219.00"	"3,533.00"	"1,44,910"	"71,91,03,761.55"	"18,996"									
26-08-2024	EQ	"4,903.00"	"4,978.75"	"4,900.10"	"4,901.50"	"4,968.90"	"4,959.40"	"4,950.35"	"5,219.00"	"3,533.00"	"4,75,103"	"2,35,19,24,718.60"	"65,675"									
23-08-2024	EQ	"5,045.00"	"5,088.80"	"4,880.00"	"5,057.85"	"4,926.95"	"4,901.50"	"4,928.77"	"5,219.00"	"3,522.00"	"8,02,974"	"3,95,76,74,235.15"	"76,207"									
22-08-2024	EQ	"5,145.00"	"5,145.00"	"5,021.15"	"5,099.45"	"5,036.00"	"5,057.85"	"5,090.09"	"5,219.00"	"3,522.00"	"3,53,198"	"1,79,78,08,151.65"	"27,686"									
21-08-2024	EQ	"5,095.00"	"5,164.00"	"5,051.85"	"5,079.20"	"5,100.00"	"5,099.45"	"5,108.50"	"5,219.00"	"3,522.00"	"7,96,491"	"4,06,88,76,960.70"	"57,626"									
20-08-2024	EQ	"5,008.00"	"5,095.95"	"4,987.70"	"5,002.70"	"5,075.00"	"5,079.20"	"5,043.49"	"5,219.00"	"3,522.00"	"3,20,092"	"1,61,43,80,438.70"	"36,777"									
19-08-2024	EQ	"5,040.00"	"5,048.00"	"4,982.05"	"5,021.30"	"5,000.10"	"5,002.70"	"5,000.59"	"5,219.00"	"3,522.00"	"1,71,799"	"85,90,95,894.45"	"18,386"									
16-08-2024	EQ	"4,995.00"	"5,025.00"	"4,902.70"	"4,960.30"	"5,013.25"	"5,021.30"	"4,979.78"	"5,219.00"	"3,491.25"	"1,93,826"	"96,52,10,113.70"	"27,122"									
14-08-2024	EQ	"4,950.00"	"5,020.00"	"4,913.30"	"4,929.50"	"4,961.95"	"4,960.30"	"4,956.68"	"5,219.00"	"3,491.25"	"2,82,580"	"1,40,06,58,167.50"	"22,587"									
13-08-2024	EQ	"5,039.95"	"5,048.00"	"4,905.50"	"5,013.80"	"4,913.70"	"4,929.50"	"4,959.77"	"5,219.00"	"3,491.25"	"1,38,438"	"68,66,20,283.40"	"21,880"									
12-08-2024	EQ	"4,999.00"	"5,025.00"	"4,960.55"	"4,989.95"	"4,995.90"	"5,013.80"	"5,005.22"	"5,219.00"	"3,491.25"	"1,67,412"	"83,79,34,571.05"	"25,574"									
09-08-2024	EQ	"5,033.00"	"5,063.80"	"4,971.35"	"4,980.10"	"4,975.00"	"4,989.95"	"5,001.51"	"5,219.00"	"3,491.25"	"1,02,057"	"51,04,38,957.75"	"12,487"									
08-08-2024	EQ	"5,049.95"	"5,063.90"	"4,942.00"	"5,018.50"	"5,000.00"	"4,980.10"	"5,000.28"	"5,219.00"	"3,491.25"	"3,48,300"	"1,74,15,96,458.05"	"49,175"									
07-08-2024	EQ	"4,960.00"	"5,063.55"	"4,954.45"	"4,909.90"	"5,018.40"	"5,018.50"	"5,017.81"	"5,219.00"	"3,491.25"	"3,22,153"	"1,61,65,03,101.55"	"42,917"									
06-08-2024	EQ	"4,818.15"	"5,045.25"	"4,818.15"	"4,817.45"	"4,900.00"	"4,909.90"	"4,972.21"	"5,219.00"	"3,491.25"	"7,98,720"	"3,97,14,06,739.80"	"66,386"									
05-08-2024	EQ	"4,861.50"	"5,010.00"	"4,801.00"	"4,909.70"	"4,810.00"	"4,817.45"	"4,889.92"	"5,219.00"	"3,491.25"	"7,15,443"	"3,49,84,59,491.25"	"62,721"									
02-08-2024	EQ	"4,950.00"	"5,029.75"	"4,890.15"	"4,993.80"	"4,905.00"	"4,909.70"	"4,959.62"	"5,219.00"	"3,491.25"	"4,86,355"	"2,41,21,35,047.40"	"36,662"									
01-08-2024	EQ	"4,949.00"	"5,008.00"	"4,883.00"	"4,935.95"	"4,990.00"	"4,993.80"	"4,947.06"	"5,219.00"	"3,491.25"	"2,02,176"	"1,00,01,75,913.85"	"29,478"									
31-07-2024	EQ	"5,040.00"	"5,068.90"	"4,910.20"	"5,027.20"	"4,953.90"	"4,935.95"	"4,964.60"	"5,219.00"	"3,491.25"	"9,12,329"	"4,52,93,47,855.80"	"71,401"									
30-07-2024	EQ	"5,140.00"	"5,175.55"	"5,000.10"	"5,112.85"	"5,014.00"	"5,027.20"	"5,074.60"	"5,219.00"	"3,491.25"	"2,99,951"	"1,52,21,32,193.20"	"34,151"									
